职位,公司,规模,薪资,城市,区域,经验,学历,领域,技能,福利
数字艺术多媒体方向实习,中数艺,20-99人,140-190元/天,北京,朝阳区,,硕士,广告/公关/会展,"动效设计,PhotoShop,视觉设计,设计师助理,多媒体策展,数字艺术,新媒体艺术","员工旅游,加班补助,年终奖"
互动新媒体数字艺术家,上海想来想趣数字科技,0-20人,10-15K,上海,松江区,经验不限,本科,互联网,"touchdesigner,unity3d,prcessing,互动多媒体,新媒体艺术,新媒体装置,C4D","绩效奖金,团建聚餐,五险一金,员工旅游,零食下午茶,保底工资,股票期权,节日福利,底薪加提成,年终奖,带薪年假,企业年金"
数字媒体艺术设计专业教师,泉州海洋职业学院,100-499人,5-7K,泉州,,经验不限,硕士,学校/学历教育,"全职,私立学校,线下教育,大班教学（25人以上）,不坐班",
中高级数字绘景艺术家,MOREVFX,20-99人,15-20K,成都,武侯区,3-5年,大专,广播/影视,"电影,Houdini,Maya,网大,电视剧,PhotoShop,MAYA","生日福利,带薪年假,年终奖,节日福利,法定节假日三薪,餐补,免费工装,团建聚餐,零食下午茶,五险一金,加班车补"
国际学校艺术教师,艺珈文化发展有限公司,20-99人,15-20K,广州,荔湾区,1-3年,硕士,培训/辅导机构,"小班教学（3-25人）,线下教育,全职,留学背景,艺术作品集,美术类,私立学校,艺术类专业背景,坐班,中学生,英美留学,Alevel艺术,特长兴趣类","通讯补贴,员工旅游,团建聚餐,五险一金,年终奖,定期体检,底薪加提成"
动画师动画制作【广西元宇宙艺术有限公司】,元宇宙艺术,0-20人,3-8K,南宁,良庆区,经验不限,学历不限,电子商务,"VR/AR动画,3D动画,2D动画,产品演示动画,游戏,宣传片,AE,PS,AI",
家装创业合伙人-门窗、微改、艺术涂料,长沙市俊轩装饰,100-499人,15-30K,长沙,,经验不限,学历不限,装修装饰,"封窗,微改,艺术涂料","通讯补贴,高温补贴,底薪加提成,零食下午茶,宿舍有空调,包住,员工旅游,保底工资,住房补贴,生日福利,团建聚餐,绩效奖金"
数字媒体,野生,20-99人,15-25K,上海,静安区,1-3年,本科,培训/辅导机构,"动效设计,MAYA,CAD,Premiere,AE,ZBrush,3DMax,Audition","零食下午茶,员工旅游,加班补助,五险一金,年终奖,带薪年假"
数字人设计师,蚂蚁云科技集团,100-499人,15-25K,杭州,滨江区,经验不限,大专,计算机软件,"3D动画,VR/AR动画,产品演示动画,宣传片,不接受居家办公,数字人","团建聚餐,节日福利,零食下午茶,带薪年假,有无线网,加班补助,五险一金,年终奖,全勤奖,员工旅游,餐补,股票期权,补充医疗保险,节假日加班费,保底工资,定期体检,生日福利"
Ai数字人制作,河南方直,0-20人,3-8K,南阳,卧龙区,1-3年,大专,大数据,"活动视频,MG/3D动画,合成",
